ID,Date,Is_Default?,Seniority,Region,Loan_Sum,Income,Outcome,
"?""?",?????,??? ???? ????? ??????,???? ?????? (?????),????? ??????,???? ???????,??????,??????,
16,01/05/2015,0,0.37,south,36974,26010,29,
40,01/05/2015,0,14.73,central,20453,25036,4763,
34,01/05/2015,0,12.19,north,39215,28832,8590,
29,01/05/2015,0,9.45,north,47523,26562,9441,
35,01/05/2015,0,18.44,north,12752,20373,571,
21,01/05/2015,0,22.89,central,11642,26080,10680,
4,01/05/2015,1,2.06,central,7047,24019,7500,
24,01/05/2015,0,3.98,central,5940,27615,1047, 
3,01/05/2015,1,1.4,central,2161,48311,20686,
28,01/05/2015,0,14.4,north,11270,21738,505,
7,01/05/2015,1,10.05,central,9620,17797,28470,
23,01/05/2015,0,6.08,central,17502,26417,10419,
10,01/05/2015,1,13.2,central,3597,3865,810,
15,01/05/2015,0,28.57,south,19571,24575,2440,
14,01/05/2015,0,15.26,south,7557,27517,271,
32,01/05/2015,0,0.17,north,29438,27627,8691,
36,01/05/2015,0,1.79,north,6734,24254,9627,
19,01/05/2015,0,7.21,central,23438,25859,2211,
8,01/05/2015,1,0.22,central,3599,48330,57661,
11,01/05/2015,0,0.85,south,9458,22798,12281,
39,01/05/2015,0,2.25,central,6421,29281,6434,
13,01/05/2015,0,21.3,south,4949,24356,5453,
38,01/05/2015,0,10.18,central,28899,27173,8965,
5,01/05/2015,1,3.86,north,1967,14217,11266,
26,01/05/2015,0,3.74,north,10038,24849,4057,
18,01/05/2015,0,4.64,south,13398,28970,6279,
27,01/05/2015,0,5.14,north,31584,26386,140,
9,01/05/2015,1,5.1,central,5755,15545,49532,
6,01/05/2015,1,5.49,central,3853,34199,37772,
31,01/05/2015,0,2.15,north,21690,21164,11649,
2,01/05/2015,1,7.65,south,5611,44544,862,
22,01/05/2015,0,14.63,central,29881,25081,5105,
12,01/05/2015,0,10.21,south,7254,22639,8201,
30,01/05/2015,0,1,north,25974,24606,3318,
1,01/05/2015,1,1.46,central,2773,29929,8905,
25,01/05/2015,0,4.1,central,23853,21094,5802,
20,01/05/2015,0,2.61,central,30881,24472,11313,
37,01/05/2015,0,10.97,south,15106,25530,6623,
33,01/05/2015,0,10.63,north,22511,27118,10643,
17,01/05/2015,0,1.8,south,25631,23384,5782,
